dim,nx,ny,nz,unknowns,nnz,prec,nprocs,nparts,overlap,iters,tol,maxit,repeat,time_assemble_s,time_setup_s,time_solve_best_s,time_solve_avg_s,total_time_best_s,total_time_avg_s
2,800,800,1,640000,3196800,as2,4,32,1,757,9.99999999999999980e-13,500000,1,3.89839250000000026e-02,8.44391469999999922e-02,4.95913497699999972e+00,4.95913497699999972e+00,5.08255804899999930e+00,5.08255804899999930e+00
2,800,800,1,640000,3196800,as2,8,32,1,605,9.99999999999999980e-13,500000,1,5.88369060000000013e-02,6.84571289999999916e-02,3.19356908799999983e+00,3.19356908799999983e+00,3.32086312299999964e+00,3.32086312299999964e+00
2,800,800,1,640000,3196800,as2,16,32,1,418,9.99999999999999980e-13,500000,1,9.11725689999999950e-02,5.72658649999999991e-02,1.97336481100000016e+00,1.97336481100000016e+00,2.12180324500000017e+00,2.12180324500000017e+00
2,1600,1600,1,2560000,12793600,identity,1,32,1,4170,9.99999999999999980e-13,500000,1,1.35140757000000000e-01,0.00000000000000000e+00,1.18520748610000012e+02,1.18520748610000012e+02,1.18655889367000015e+02,1.18655889367000015e+02
2,1600,1600,1,2560000,12793600,as2,1,32,1,1454,9.99999999999999980e-13,500000,1,1.37455601999999955e-01,1.06321184299999993e+00,1.27311420740999992e+02,1.27311420740999992e+02,1.28512088186000000e+02,1.28512088186000000e+02
2,1600,1600,1,2560000,12793600,as2,2,32,1,1360,9.99999999999999980e-13,500000,1,1.40587385000000009e-01,5.60134665999999948e-01,6.82246011799999934e+01,6.82246011799999934e+01,6.89253232309999930e+01,6.89253232309999930e+01
2,1600,1600,1,2560000,12793600,as2,4,32,1,1213,9.99999999999999980e-13,500000,1,1.55651339999999999e-01,3.31930585000000056e-01,3.91118967080000033e+01,3.91118967080000033e+01,3.95994786330000039e+01,3.95994786330000039e+01
2,1600,1600,1,2560000,12793600,as2,8,32,1,955,9.99999999999999980e-13,500000,1,2.20535867999999996e-01,2.93025444000000024e-01,2.71984394440000017e+01,2.71984394440000017e+01,2.77120007560000019e+01,2.77120007560000019e+01
2,1600,1600,1,2560000,12793600,as2,16,32,1,664,9.99999999999999980e-13,500000,1,3.73164631000000024e-01,2.37712378000000113e-01,1.49959145189999994e+01,1.49959145189999994e+01,1.56067915279999987e+01,1.56067915279999987e+01
3,40,40,40,64000,438400,identity,1,32,1,125,9.99999999999999980e-13,500000,1,5.15244299999999961e-03,0.00000000000000000e+00,7.62827189999999988e-02,7.62827189999999988e-02,8.14351620000000054e-02,8.14351620000000054e-02
